,European Union Emissions Trading System (until 2018),,,, ,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, ,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
2/17/2016,1,1.109295238,EUR,4.8, ,,,,,, 
2/18/2016,1,1.109295238,EUR,5.22, ,,,,,, 
2/19/2016,1,1.109295238,EUR,5.26, ,,,,,, 
2/22/2016,1,1.109295238,EUR,5.2, ,,,,,, 
2/23/2016,1,1.109295238,EUR,5.14, ,,,,,, 
2/24/2016,1,1.109295238,EUR,, ,,,,,, 
2/25/2016,1,1.109295238,EUR,4.78, ,,,,,, 
2/26/2016,1,1.109295238,EUR,5.08, ,,,,,, 
2/29/2016,1,1.109295238,EUR,4.85, ,,,,,, 
3/1/2016,1,1.109966667,EUR,4.9, ,,,,,, 
3/2/2016,1,1.109966667,EUR,4.8, ,,,,,, 
3/3/2016,1,1.109966667,EUR,4.88, ,,,,,, 
3/4/2016,1,1.109966667,EUR,4.8, ,,,,,, 
3/7/2016,1,1.109966667,EUR,4.95, ,,,,,, 
3/8/2016,1,1.109966667,EUR,5, ,,,,,, 
3/9/2016,1,1.109966667,EUR,, ,,,,,, 
3/10/2016,1,1.109966667,EUR,5, ,,,,,, 
3/11/2016,1,1.109966667,EUR,5.01, ,,,,,, 
3/14/2016,1,1.109966667,EUR,4.92, ,,,,,, 
3/15/2016,1,1.109966667,EUR,4.81, ,,,,,, 
3/16/2016,1,1.109966667,EUR,4.94, ,,,,,, 
3/17/2016,1,1.109966667,EUR,4.92, ,,,,,, 
3/18/2016,1,1.109966667,EUR,4.92, ,,,,,, 
3/21/2016,1,1.109966667,EUR,4.86, ,,,,,, 
3/22/2016,1,1.109966667,EUR,4.8, ,,,,,, 
3/23/2016,1,1.109966667,EUR,, ,,,,,, 
3/24/2016,1,1.109966667,EUR,4.76, ,,,,,, 
3/29/2016,1,1.109966667,EUR,4.75, ,,,,,, 
3/30/2016,1,1.109966667,EUR,4.77, ,,,,,, 
3/31/2016,1,1.109966667,EUR,4.97, ,,,,,, 
4/1/2016,1,1.133919048,EUR,5.18, ,,,,,, 
4/4/2016,1,1.133919048,EUR,5.08, ,,,,,, 
4/5/2016,1,1.133919048,EUR,5.26, ,,,,,, 
4/6/2016,1,1.133919048,EUR,, ,,,,,, 
4/7/2016,1,1.133919048,EUR,5.23, ,,,,,, 
4/8/2016,1,1.133919048,EUR,5.23, ,,,,,, 
4/11/2016,1,1.133919048,EUR,5.42, ,,,,,, 
4/12/2016,1,1.133919048,EUR,5.63, ,,,,,, 
4/13/2016,1,1.133919048,EUR,5.42, ,,,,,, 
4/14/2016,1,1.133919048,EUR,5.47, ,,,,,, 
4/15/2016,1,1.133919048,EUR,5.54, ,,,,,, 
4/18/2016,1,1.133919048,EUR,5.38, ,,,,,, 
4/19/2016,1,1.133919048,EUR,5.47, ,,,,,, 
4/20/2016,1,1.133919048,EUR,, ,,,,,, 
4/21/2016,1,1.133919048,EUR,5.58, ,,,,,, 
4/22/2016,1,1.133919048,EUR,5.74, ,,,,,, 
4/25/2016,1,1.133919048,EUR,5.92, ,,,,,, 
4/26/2016,1,1.133919048,EUR,6.08, ,,,,,, 
4/27/2016,1,1.133919048,EUR,6.94, ,,,,,, 
4/28/2016,1,1.133919048,EUR,6.64, ,,,,,, 
4/29/2016,1,1.133919048,EUR,6.29, ,,,,,, 
5/2/2016,1,1.131109091,EUR,, ,,,,,, 
5/3/2016,1,1.131109091,EUR,5.88, ,,,,,, 
5/4/2016,1,1.131109091,EUR,, ,,,,,, 
5/5/2016,1,1.131109091,EUR,, ,,,,,, 
5/6/2016,1,1.131109091,EUR,6.13, ,,,,,, 
